11月15日の学校は暖かいかな？	お昼の日吉津村は涼しいかな？
12月の学校の涼しさは？	こんにちわ始めまして
１３：３０からです	昼の水巻町はどうですか？
14日の瀬戸市は暑いかな？	職場は晴れるかな？
26日はヒマなんですか？	明日の神河町ならどうですか？
30日の職場は晴れる？	座間市は晴れると思う？
3Dプリンタもほしいと思いますね	このあたりの天気はどんな感じ？
3月3日はどこへ行くのですか？	お昼のここならどんな？
4月8日の朝日町は雪降る？	日吉津村のお昼の天気はどうだろう？
4日の学校は？	今夜のこのあたりは？
4日の職場は？	明後日の学校はどうだろう？
6月14日の国富町の寒さは？	この辺で何かある？
6月14日の檜原村の寒さは？	朝はどちらへ行かれるんですか？
6月のこの辺は雪降らないかな？	職場のお昼の天気
7月は暇？	江差町の7日ならどんな？
8月29日の鏡石町は雨？	お昼のここの天気はどんな感じ？
9月11日は暇になりそう？	16日はどうですか？
9月25日は晴れる？	夕方は忙しくなりそう？
9月8日の職場ならどうですか？	焼きイカも食べたいな
Officeがあるし	今の本巣市は暑い？
アップにすると白髪が目立ちます	最近図書館行ってないです
あと改札機	今週末は連休ですね
あなたのがものすごいですよ	今年の暑さはあとどのくらいかな
あなたの血液型を教えてちょ	明後日の職場はどう？
あなたは川と海はどっちが好きですか？	朝から山に行きますか？
あま市の6月は雪降らないかな？	というと女性？
あま市の今日は雪降らないかな？	このあたりは雪かな？
アメーバのやつですか？	お昼のここは晴れ？
アルバイトしたことありますか？	今は何か予定ある？
いつ行きましょうか	今週は北海道へ行ってました
いつ頃行かれたんですか	昼食はどちらに行かれますか
いやラーメンだってば	ここのお昼の暖かさは？
エボラ出血熱かな	17日はどこかへ行きますか？
お互い頑張りましょう	昼のこのあたりの天気
お刺身が好きです	今はどこかへ行く予定はありますか？
お前不倫中だろう	お昼の寒さは？
お昼のここの寒さは？	沖縄へ行くこと自体が海目的が多いじゃないですか
お昼のここの暑さは？	誰の話ですか
お昼のここの天気はどう？	あなたも可愛いです
お昼のここの天気はどんなになってる？	なかなか食べることができないですよね
お昼のここの天気は何かな？	スイカとかき氷ですね
お昼のここは晴れ？	持ちませんでした
お昼のここは曇り？	今夜はどこに行くんですか
お昼のこのあたりの天気は何？	11月29日の職場はどうですか？
お昼のこのあたりは雨かな？	今夜はお仕事ですか？
お昼の三木市は雨降る？	今何時ですか？
お昼の春日市は晴れると思う？	ここの天気を教えてほしい
お昼の松原市の天気	夕方はどこへ行くのですか？
お昼の職場の天気はどんな感じ？	明後日ならどんな？
お昼の職場は晴れないかな？	門川町なら？
お昼の東伊豆町は寒いかな？	今日の予定を教えてほしい
お昼の尾道市は晴れると思う？	コースを覚えるのが大変ですね
お昼の予定を教えて	もう海を諦めるのか
お昼の予定を教えてほしい	阿智村の今朝はどんな？
お昼はどこに行くんですか	ムーミンってフィンランドだったっけ？
お昼はどこに行くんですか	沼津市の今は？
お昼は暇？	学校の夜はどんな？
お昼は暖かい？	八雲町の10月は雪降るかな？
お昼は忙しくなりそう？	タネがちょっと苦労するかなぁ
お昼は忙しくなりそう？	今のこのあたりはどんな？
お盆に行こうと思ってます	ここの寒さは？
クーラーじゃない話がしたい	上牧町の今は暑い？
けどかき氷の方がおいしい	お昼の予定
ここで何かある？	職場の5日はどうだろう？
ここで何か予定されてる？	このあたりの明日ならどう？
ここで何か予定されてる？	ドライブに行こうか？
ここで何か予定されてる？	明後日の多久市なら？
ここで何か予定されてる？	明日は暑い？
ここなら？	夕方の佐世保市は？
ここの16日は？	こんにちはひまなの？
ここのお昼の暑さは？	なんか乗る気じゃない？
ここのお昼の天気はどんな感じ？	夏は美味しい果物いっぱいだね
ここのお昼は暑い？	今日は忙しくなりそう？
ここの今は寒い？	週3回病院行ってるんです
ここの今朝は曇り？	三島村の天気は何かな？
ここの今日は雪降るかな？	明日は暇になりそう？
ここの今夜は雨かな？	山はどうでしょう？
ここの今夜は雪降らないかな？	あなたは川と海はどっちが好きですか？
ここの今夜は曇りかな？	夕方の神河町ならどうですか？
ここの暑さは？	忙しいよ
ここの昼ならどんな？	少し暗くなったよ
ここの朝は曇るかな？	那須塩原市ならどんな？
ここの明後日の天気はどんな感じ？	職場の涼しさは？
ここの明後日は晴れると思う？	上手くなるまでが苦しくてやめてしまうこともありますね
ここの明後日は暖かいかな？	この辺は雨降らない？
ここの夜はどんな？	このあたりは晴れかな？
ここの夜は雨かな？	白石町は涼しいかな？
ここの夜は暑い？	この辺は曇る？
ここの夕方の天気は？	朝ご飯を食べましょう
ここの来月の暑さは？	七夕に天の川見えた？
ここの来月は雨降るかな？	今朝は何かある？
ここの来月は雪降る？	ここの夕方の天気を教えてほしい
ここの来週は雪降らないかな？	秦野市の天気は何かな？
ここはどう？	毎年泳いでますか？
ここは晴れ？	昼はどこへ行くのですか？
ここは晴れない？	忙しいけど楽しい？
ここは雪降らない？	町田市の天気はどうかな？
ここは涼しいかな？	それなら余計休んだほうがいいですよ
コストがかかるっていう意識は大事ですね	夕方の越前町の天気を教えてほしい
このあたりで何かある？	お昼の当麻町なら？
このあたりのお昼の寒さは？	今何時ですか？
このあたりのお昼の暑さは？	なぜそう写ったのか
このあたりのお昼の天気	稲を育てるためには必要ですね
このあたりのお昼の天気は？	盛り上がってないなあ
このあたりのお昼の天気はどんなになってる？	どうもありがとうございます
このあたりの今は曇りかな？	さっきもしたね
